epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,20425.2,1.10482,0.59222,1.17722,0.99748,1,0.995,0.74169,1.05427,0.46756,1.09158,0.000660299,0.000660299,0.000660299
63,20712.5,1.06666,0.55712,1.14686,0.99695,1,0.995,0.75811,1.01866,0.42828,1.10656,0.000643795,0.000643795,0.000643795
64,21010.4,1.05492,0.54168,1.15323,0.99727,1,0.995,0.73424,1.04087,0.44078,1.10178,0.000627292,0.000627292,0.000627292
65,21301.9,1.05188,0.55203,1.13992,0.99614,1,0.995,0.74369,1.01436,0.43685,1.08996,0.000610789,0.000610789,0.000610789
66,21593.2,1.07052,0.57388,1.15734,0.99552,1,0.995,0.73762,1.02319,0.44227,1.09158,0.000594286,0.000594286,0.000594286
67,21871.5,1.04665,0.55476,1.139,0.99796,1,0.995,0.74928,1.00441,0.42588,1.08745,0.000577782,0.000577782,0.000577782
68,22115.6,1.03461,0.54304,1.14664,0.9978,1,0.995,0.74457,0.98142,0.41743,1.10945,0.000561279,0.000561279,0.000561279
69,22388.8,1.05868,0.5502,1.13793,0.99683,1,0.995,0.73306,1.04906,0.41658,1.12946,0.000544776,0.000544776,0.000544776
70,22654.3,1.05598,0.55675,1.13973,0.99684,1,0.995,0.74109,1.0907,0.43562,1.1125,0.000528272,0.000528272,0.000528272
71,22917.5,1.0711,0.54453,1.16315,0.99662,1,0.995,0.74582,1.03594,0.42042,1.15354,0.000511769,0.000511769,0.000511769
72,23177.5,1.02114,0.54141,1.14005,0.99687,1,0.995,0.73661,1.04255,0.41404,1.10298,0.000495266,0.000495266,0.000495266
73,23470.4,1.0381,0.53778,1.13928,0.99744,1,0.995,0.77315,0.98496,0.41142,1.06215,0.000478762,0.000478762,0.000478762
74,23757.6,1.02856,0.5442,1.15289,0.99695,1,0.995,0.76725,0.9904,0.41306,1.07657,0.000462259,0.000462259,0.000462259
75,24051.6,1.01684,0.536,1.11694,0.9969,1,0.995,0.7542,0.98059,0.40793,1.0697,0.000445756,0.000445756,0.000445756
76,26638.8,1.03207,0.52703,1.13141,0.99698,1,0.995,0.75022,0.99537,0.40526,1.05975,0.000429253,0.000429253,0.000429253
77,26943.7,1.00816,0.54479,1.13162,0.99736,1,0.995,0.76512,0.95956,0.4059,1.06523,0.000412749,0.000412749,0.000412749
78,27250.8,1.02888,0.53431,1.12943,0.997,1,0.995,0.78711,0.92911,0.39378,1.0442,0.000396246,0.000396246,0.000396246
79,27554.8,1.02421,0.53522,1.13796,0.99716,1,0.995,0.74059,1.01442,0.42259,1.08498,0.000379743,0.000379743,0.000379743
80,27853.2,0.97803,0.52378,1.09976,0.99713,1,0.995,0.77301,0.95172,0.40701,1.03763,0.000363239,0.000363239,0.000363239
81,28148.8,1.01658,0.52985,1.1178,0.9975,1,0.995,0.74557,0.99149,0.41333,1.06234,0.000346736,0.000346736,0.000346736
82,30871.1,0.98058,0.51229,1.10056,0.99758,1,0.995,0.75728,1.00307,0.41732,1.07777,0.000330233,0.000330233,0.000330233
83,31167.1,1.00076,0.51734,1.11115,0.99709,1,0.995,0.75564,1.00817,0.41456,1.08399,0.000313729,0.000313729,0.000313729
84,31461.9,1.00704,0.51734,1.11417,0.99642,1,0.995,0.77548,0.98239,0.39454,1.05525,0.000297226,0.000297226,0.000297226
85,31757.7,1.00187,0.51258,1.11808,0.99791,1,0.995,0.77253,0.96857,0.39853,1.05268,0.000280723,0.000280723,0.000280723
86,32052.6,0.99014,0.50631,1.10606,0.99758,1,0.995,0.78372,0.95626,0.38231,1.05657,0.00026422,0.00026422,0.00026422
87,32347.1,0.96652,0.51108,1.09327,0.99652,1,0.995,0.7531,0.97627,0.39072,1.0569,0.000247716,0.000247716,0.000247716
88,32642.3,0.97004,0.51583,1.10501,0.9969,1,0.995,0.76391,0.98034,0.38696,1.07835,0.000231213,0.000231213,0.000231213
